Wiring		
SKU	Name	Quantity
30679-05	Cable Assemble, Stepper Motor 73 in long X-Axis	1
30679-06	Cable Assemble, Stepper Motor 34 in long Y1-Axis	1
30679-07	Cable Assemble, Stepper Motor 71 in long Y2-Axis	1
30679-08	Cable Assemble, Stepper Motor 73 in long Z-Axis	1
30682-04	Cable Assembly, 2C Lugs Ferrules 76"Lg X-Limit	1
30682-05	Cable Assembly, 2C Lugs Ferrules 33"Lg Y-Limit	1
30682-06	Cable Assembly, 2C Lugs Ferrules 76"Lg Z-Limit	1
30331-12	Drag Chain Lengths	2
30712-01	X-Controller, 110V	1